#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
6923,,,Statewise Representation,Madison,University of Wisconsin Hospitals and Clinics,9/30/2016,"        As reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...  ",Government Agency,"Madison, Wisconsin",1,"6,923",,Wisconsin,Unknown,DISC,MED
64000,,,Statewise Representation,Oxford,Urgent Care Clinic of Oxford,9/30/2016,"                                As reported by Health and Human Services hacking/IT Incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...        ",Government Agency,"Oxford, Mississippi",1,"64,000",,Mississippi,Unknown,HACK,MED
33698,,,Statewise Representation,Arlington,Rainbow Children's Clinic,10/3/2016,"                As reported by Health and Human Services hacking/IT Incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...    ",Government Agency,"Arlington, Texas",1,"33,698",,Texas,Unknown,HACK,MED
1987,,,Statewise Representation,San Diego,Apria Healthcare,10/4/2016,"s reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",California Attorney General,"San Diego, California",1,"1,987",,California,Unknown,DISC,MED
14236,,,Statewise Representation,Prescott,Juame Francisco D.O.,10/4/2016,"        As reported by Health and Human Services hacking/IT Incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...  ",Government Agency,"Prescott, Arizona",1,"14,236",,Arizona,Unknown,HACK,MED
2124,,,Statewise Representation,Moutain Home,Baxter Regional Medical Center- Home Health Facility,10/5/2016,"s reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Moutain Home, Arkansas",1,"2,124",,Arkansas,Unknown,DISC,MED
2245,,,Statewise Representation,Simi Valley,"Genesis Physical Therapy, Inc.",10/7/2016,"                                As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...        ",Government Agency,"Simi Valley, California",1,"2,245",,California,Unknown,DISC,MED
540,,,Statewise Representation,Arlington,Northwest Community Healthcare,10/7/2016,"        As reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...  ",Government Agency,"Arlington, Illinois",1,540,,Illinois,Unknown,DISC,MED
2938,,,Statewise Representation,Tulsa,Warren Clinic,10/7/2016,"        As reported by Health and Human Services unauthorized hacking/IT Incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...  ",Government Agency,"Tulsa, Oklahoma",1,"2,938",,Oklahoma,Unknown,HACK,MED
,,,Statewise Representation,Seattle,Seattle Indian Health Board,10/8/2016,"""The Seattle Indian Health Board experienced a security attack to an employee email account on August 10, 2016. Access to the account lasted approximately 4 hours before the Seattle Indian Health Board IT department shut down the email system. The information accessed may or may not have included patients’ names, date of birth, patient ID numbers, social security numbers or other protected health information. The security of patient data is extremely important to us and we are taking this attack seriously as well as informing our patients directly and notifying the public about this incident.""More Information: http://www.sihb.org/current/?id=135",Media,"Seattle, Washington",1,Unknown,,Washington,Unknown,HACK,MED
992,,,Statewise Representation,Deerfield,Baxter Healthcare,10/10/2016,"        As reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...  ",California Attorney General,"Deerfield, Illinois",1,992,,Illinois,Unknown,DISC,MED
862,,,Statewise Representation,Shelbyville,Bedford County Board of Education,10/12/2016,"                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...      ",Government Agency,"Shelbyville, Tennessee",1,862,,Tennessee,Unknown,DISC,MED
,,,Statewise Representation,Los Angeles,Keck Medical Center of USC,10/12/2016,"""On August 1st 2016, USC Keck and Norris Hospitals detected ransomware on two servers after being notified earlier that day that certain hospital employees could not access their files.  This type of malware attack encrypted files on both servers, which made the files inaccessible to our employees.  However, the attack was quickly contained and isolated to prevent the spreading of malware to other servers.""The information stored on the servers held by the ransomware included departmental files including ""templates, training manuals, human resource materials and other information needed for hospital operations.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-63962",California Attorney General,"Los Angeles, California",1,Unknown,,California,Unknown,HACK,MED
,,,Statewise Representation,Denton,Integrity Transitional Hospital,10/14/2016,"""Integrity receives laboratory specimens from companies that work with various healthcare providers, and then submits these specimens to laboratories for testing.  In the course of providing this service and for billing purposes, Integrity maintains certain patient information on specimens submitted by the healthcare providers.  On August 15, 2016, Integrity leaned that suspicious activity on its network may have affected the systems related to its laboratory services.  Integrity immediately began investigation, with the assistance of an expert forensics company, to determine the scope of the incident.  Our investigation has determined that an unauthorized individual potentially could have accessed your lab results, lab testing information, health insurance information, and scanned driver's license if you provided one.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64398",California Attorney General,"Denton , Texas",1,Unknown,,Texas,Unknown,HACK,MED
